scenario,lane,runs,mean_trade_tstat,std_trade_tstat,mean_trade_tstat_delta,std_trade_tstat_delta,median_trade_tstat_delta,tstat_wins,mean_total_net,mean_total_net_delta
regime_switching,catboost_barrier,5,6.555952956565029,2.3164090930746983,-0.07014414315295045,0.8973105035494604,0.12553275851450785,4,429.7110134224728,-53.2895430808401
regime_switching,catboost_huber,5,7.289759992409796,2.142541824348598,0.6636628926918166,0.41261954597234723,0.7037750036358466,5,531.1760286661228,48.175472162809946
regime_switching,catboost_point,5,6.769473647940464,2.3879325282631134,0.14337654822248408,0.6897777458963514,0.02405408608004933,3,495.0233936613539,12.022837158041114
regime_switching,catboost_quantile,5,6.455373752378712,2.498233088648855,-0.17072334733926783,0.5618791601076271,-0.1883170012562161,2,485.95503818504693,2.9544816817340918
regime_switching,lightgbm_barrier,5,6.285297531046058,2.59746769502819,-0.3407995686719224,0.6878527971155228,0.07986965143848757,3,405.83863881427595,-77.16191768903698
regime_switching,lightgbm_huber,5,7.180877606070626,2.245401309951112,0.5547805063526461,0.5165782516618097,0.4018610649630894,5,515.9260189142744,32.925462410961565
regime_switching,lightgbm_point,5,7.009444251374992,2.1622281336086475,0.38334715165701316,0.5046773481094204,0.19761855520746785,4,515.2661870860838,32.265630582770974
regime_switching,lightgbm_quantile,5,7.231117971562256,2.331196404681286,0.6050208718442759,1.235061106887791,0.14509276592348197,3,513.0932316015919,30.092675098279063
regime_switching,rolling_z,5,6.626097099717979,2.2987376386580536,0.0,0.0,0.0,0,483.00055650331296,0.0
stationary_ou,catboost_barrier,5,11.213154200515316,2.1130200085739514,-1.4530520265094409,1.1019545479789128,-1.368933773468921,1,634.1136291349928,-198.3435157832892
stationary_ou,catboost_huber,5,11.892537280701267,1.7099456162105875,-0.7736689463234871,0.9300651680031307,-0.6961625306031554,1,727.0061970344666,-105.45094788381532
stationary_ou,catboost_point,5,12.02860812323145,2.120496171034342,-0.6375981037933048,1.3446806612601296,-0.8251515435933356,2,755.6690589867044,-76.78808593157756
stationary_ou,catboost_quantile,5,12.273808234094723,1.2729229584509525,-0.39239799293003086,0.5249073753865661,-0.1807147510657643,1,751.9893805468251,-80.46776437145684
stationary_ou,lightgbm_barrier,5,11.643449093207261,2.069877468638319,-1.0227571338174943,1.1514922150810636,-0.5761714740582846,0,713.2371333520274,-119.22001156625458
stationary_ou,lightgbm_huber,5,12.388682686589876,2.0476247505212024,-0.27752354043487876,0.8882638609387752,0.05469658513536402,3,781.7928576673642,-50.66428725091769
stationary_ou,lightgbm_point,5,11.674801669147701,2.323830528989322,-0.9914045578770541,1.2564213829886777,-0.33935480133614604,1,692.753232424408,-139.70391249387393
stationary_ou,lightgbm_quantile,5,12.64844479372733,1.9012000999887362,-0.0177614332974251,1.0261134415135897,-0.300312419075242,2,741.1743436804556,-91.2828012378264
stationary_ou,rolling_z,5,12.666206227024755,1.5955748179121123,0.0,0.0,0.0,0,832.4571449182819,0.0
