scenario,fold,lane,point_bias_adjustment,calibration_rmse_raw,calibration_rmse,test_rmse,test_mae,quantile_adjustment,calibration_coverage_20,calibration_coverage_50,calibration_coverage_80,test_coverage_20,test_coverage_50,test_coverage_80,test_pinball_20,test_pinball_50,test_pinball_80,raw_crossing_rate,test_mean_interval_width,test_strict_q20_positive_rate,barrier_class_payoffs,calibration_log_loss,calibration_win_ece,test_log_loss,test_multiclass_brier,test_win_ece,test_mean_win_probability,test_win_frequency
stationary_ou,1,rolling_z,,,,,,,,,,,,,,,,,,,,,,,,,,
stationary_ou,1,lightgbm_point,-0.02894204011435157,1.3054732371366289,1.3051523785344026,1.2630634064672674,1.0933384032597104,,,,,,,,,,,,,,,,,,,,,
stationary_ou,1,catboost_point,-0.028233807079414554,1.3038083612488756,1.3035026256207853,1.2638034375588547,1.094071868053821,,,,,,,,,,,,,,,,,,,,,
stationary_ou,1,lightgbm_huber,-0.34281811723783717,1.3509973399440682,1.306778309825141,1.2638432575760958,1.093324748622188,,,,,,,,,,,,,,,,,,,,,
stationary_ou,1,catboost_huber,-0.308425946492371,1.3408469736039959,1.3048923488752933,1.2640783950783676,1.0947925515532444,,,,,,,,,,,,,,,,,,,,,
stationary_ou,1,lightgbm_quantile,,,,,,"[-0.05994258279341147, -0.012315832560998219, 0.016124917617007257]",0.2002294893861159,0.5002868617326449,0.7997705106138842,0.1667818475005759,0.45726791061967287,0.788067265607003,0.4150530846540923,0.45090835318901645,0.2613105008892165,0.0,2.569515714073456,0.0064501266989173,,,,,,,,
stationary_ou,1,catboost_quantile,,,,,,"[-0.051322510064862825, -0.013084087431985525, 0.017487308257700188]",0.2002294893861159,0.5002868617326449,0.7997705106138842,0.16724257083621286,0.4538124856023958,0.7869154572679106,0.41694095959192606,0.45296696742178577,0.2610886665932919,0.0,2.578948034003999,0.0,,,,,,,,
stationary_ou,1,lightgbm_barrier,,,,,,,,,,,,,,,,,,,"{0: -1.5416363093219059, 1: -0.08172320207103931, 2: 1.1612171423920303}",0.7110077758624209,0.002610020462411486,0.6538501112636166,0.41152069464739316,0.049027930899458325,0.6717737277045499,0.7208016586040082
stationary_ou,1,catboost_barrier,,,,,,,,,,,,,,,,,,,"{0: -1.5416363093219059, 1: -0.08172320207103931, 2: 1.1612171423920303}",0.7086097243583361,0.011450003736930364,0.6539943311609808,0.41222926886359385,0.04988901296901428,0.6709126456349941,0.7208016586040082
stationary_ou,2,rolling_z,,,,,,,,,,,,,,,,,,,,,,,,,,
stationary_ou,2,lightgbm_point,0.027772175454189363,1.2575214462300663,1.2572147366297848,1.2714125554586855,1.0692496868501438,,,,,,,,,,,,,,,,,,,,,
stationary_ou,2,catboost_point,0.0276340393644683,1.2589638646800294,1.2586605469460297,1.2720477395268959,1.0710067222218957,,,,,,,,,,,,,,,,,,,,,
stationary_ou,2,lightgbm_huber,-0.28930192390060055,1.2891840560609755,1.2563040743503302,1.2712068257045313,1.068474278166012,,,,,,,,,,,,,,,,,,,,,
stationary_ou,2,catboost_huber,-0.2532810376124747,1.28248874707565,1.2572295344771451,1.273360604050942,1.068854524014351,,,,,,,,,,,,,,,,,,,,,
stationary_ou,2,lightgbm_quantile,,,,,,"[-0.014531526659506744, -9.20840418573432e-05, 0.021111518505686044]",0.20048163756773027,0.5003010234798314,0.8001204093919325,0.19227293267058293,0.4966109353818346,0.7989154993221871,0.40825449024977406,0.46382024556475665,0.26678119486448665,0.0,2.5185593156603736,0.011522819701762313,,,,,,,,
stationary_ou,2,catboost_quantile,,,,,,"[-0.003007278713485162, -0.00039879289836486365, 0.03100504433432527]",0.20048163756773027,0.5003010234798314,0.8001204093919325,0.19498418436511522,0.48712155445097155,0.8038861274288296,0.40917256204421765,0.4656595443422337,0.2673782073315567,0.0,2.5127114215875186,0.0027112516945323093,,,,,,,,
stationary_ou,2,lightgbm_barrier,,,,,,,,,,,,,,,,,,,"{0: -1.504414764152741, 1: -0.16664805710747518, 2: 1.1532071820099927}",0.6728578930736258,0.005955943621880639,0.7087488952236176,0.4368438325597588,0.01093188317726698,0.7040059896984586,0.6974694984184365
stationary_ou,2,catboost_barrier,,,,,,,,,,,,,,,,,,,"{0: -1.504414764152741, 1: -0.16664805710747518, 2: 1.1532071820099927}",0.6727618715990782,0.004480635134715254,0.7084412864169597,0.43671551709407136,0.009031416688566416,0.7049681800183238,0.6974694984184365
regime_switching,1,rolling_z,,,,,,,,,,,,,,,,,,,,,,,,,,
regime_switching,1,lightgbm_point,0.0213396853873539,1.4657543117869105,1.4655989630009596,1.4276944632358513,1.2035025045661805,,,,,,,,,,,,,,,,,,,,,
