scenario,fold,lane,threshold,test_candidates,selection_rate,trades,total_net,mean_net,hit_rate,trade_tstat,max_drawdown,average_duration,selection_trades,selection_tstat
stationary_ou,1,rolling_z,1.0013244181745398,4341,0.359364201796821,1560,589.8524845834271,0.3781105670406584,0.6974358974358974,11.07576610028886,13.253736862880146,3.023076923076923,598,7.2483282099758775
stationary_ou,1,lightgbm_point,0.0,4341,0.35821239345772865,1555,589.7725215729755,0.37927493348744407,0.6977491961414791,11.084242012835453,13.253736862880146,3.030225080385852,597,7.193836713702332
stationary_ou,1,catboost_point,0.2400304644539111,4341,0.2920985947938263,1268,513.5361916935831,0.40499699660377214,0.7113564668769716,10.863748227125328,13.119202434443991,3.001577287066246,502,7.659454145894856
stationary_ou,1,lightgbm_huber,0.23115931351417873,4341,0.2941718498041926,1277,563.8351064135336,0.44153101520245386,0.7188723570869224,11.84756716277712,10.711525198872437,3.000783085356304,501,7.390820276974081
stationary_ou,1,catboost_huber,0.22740062072862702,4341,0.2941718498041926,1277,532.6722119583525,0.41712780889455947,0.7133907595927956,11.180628889627133,10.141602044271337,3.0093970242756463,498,7.378916836551256
stationary_ou,1,lightgbm_quantile,0.25934433674044133,4341,0.2895646164478231,1257,531.9806845529776,0.42321454618375304,0.7191726332537789,11.416941066472019,13.040594125288067,3.023070803500398,497,7.91349364387646
stationary_ou,1,catboost_quantile,0.2624022245447719,4341,0.3006219765031099,1305,504.83755719872,0.3868487028342682,0.7049808429118773,10.505299699871207,14.102675794266588,3.06360153256705,494,7.074878167492568
stationary_ou,1,lightgbm_barrier,0.0,4341,0.3586731167933656,1557,590.2744166543127,0.37911009419031005,0.697495183044316,11.089132635407905,13.253736862880146,3.025690430314708,598,7.241874976459605
stationary_ou,1,catboost_barrier,0.19452509357879857,4341,0.2980879981571067,1294,493.09431799392405,0.38106206954708194,0.7086553323029366,10.417284362371733,13.860462744361314,3.047913446676971,490,8.13978178564017
stationary_ou,2,rolling_z,1.2144677518641924,4426,0.3115680072300045,1379,526.4457749885847,0.3817590826603225,0.7048585931834663,10.431942714496687,16.58297191654998,3.050761421319797,495,6.905621516608215
stationary_ou,2,lightgbm_point,0.34283638771150043,4426,0.25056484410302754,1109,449.98394796897173,0.40575649050403223,0.7069431920649234,9.983351029035454,16.257811055126297,3.116321009918846,413,7.271598565462344
stationary_ou,2,catboost_point,0.3462655870005956,4426,0.2535020334387709,1122,431.77339524740074,0.3848247729477725,0.7023172905525846,9.464840265781186,16.88293728653099,3.0677361853832443,411,5.840770802118338
stationary_ou,2,lightgbm_huber,0.3408364384001836,4426,0.2501129688206055,1107,435.47427365893213,0.39338236102884566,0.7055103884372177,9.696347785330298,13.34468937280596,3.066847335140018,413,7.108641141345299
stationary_ou,2,catboost_huber,0.3326291731358438,4426,0.2514685946678717,1113,421.67578662866663,0.3788641389296196,0.7008086253369272,9.294376810968219,15.472510116951128,3.1024258760107815,407,5.750383691964323
stationary_ou,2,lightgbm_quantile,0.32244670553167826,4426,0.17849073655671036,790,348.30137193160056,0.4408878125716463,0.7240506329113924,9.613403934517677,12.609037908972766,3.3430379746835444,266,7.319025000884711
stationary_ou,2,catboost_quantile,0.2943151394585958,4426,0.25485765928603704,1128,436.60392222477003,0.3870602147382713,0.700354609929078,9.633653971031302,14.685959817962669,3.099290780141844,412,6.081668068839509
stationary_ou,2,lightgbm_barrier,0.3673127137777097,4426,0.2263895164934478,1002,394.0607129003885,0.39327416457124603,0.7065868263473054,9.591282073191941,18.472880342278586,3.352295409181637,375,6.73002669957419
stationary_ou,2,catboost_barrier,0.4068479548268652,4426,0.16154541346588341,715,303.81100706542816,0.4249104993922072,0.7146853146853147,9.281386908629555,9.603203121434632,3.593006993006993,246,7.211399646154542
regime_switching,1,rolling_z,1.0003322293980832,4452,0.3380503144654088,1505,494.1536629181658,0.328341304264562,0.6750830564784053,8.330487147490444,26.287738287003492,3.208637873754153,543,2.113015181795998
regime_switching,1,lightgbm_point,0.0,4452,0.33468104222821204,1490,497.08945917265635,0.33361708669305795,0.676510067114094,8.408040276900328,26.287738287003492,3.187248322147651,537,2.120540620954422
regime_switching,1,catboost_point,0.0,4452,0.3380503144654088,1505,494.1536629181658,0.328341304264562,0.6750830564784053,8.330487147490444,26.287738287003492,3.208637873754153,541,2.18035570124513
regime_switching,1,lightgbm_huber,0.0022099950449140926,4452,0.32030548068283915,1426,506.36622559388763,0.3550955298694864,0.6837307152875175,8.743617251718637,24.712855627657802,3.1093969144460027,498,2.418756281043968
regime_switching,1,catboost_huber,0.03923146025574073,4452,0.325696316262354,1450,501.2388628118234,0.34568197435298165,0.6806896551724138,8.59582777994285,24.70466963249254,3.107586206896552,497,2.3655453674532763
regime_switching,1,lightgbm_quantile,0.2623135016921022,4452,0.27403414195867026,1220,453.2282451207006,0.37149856157434474,0.6860655737704918,8.375679688792092,23.224055309105097,3.0131147540983605,413,2.3162421556401442
regime_switching,1,catboost_quantile,0.0,4452,0.3380503144654088,1505,497.28164974007143,0.3304197008239677,0.6764119601328904,8.386893730024543,26.287738287003492,3.2,538,2.168275586602237
regime_switching,1,lightgbm_barrier,0.1529563273472123,4452,0.27268643306379153,1214,449.04178467659506,0.3698861488275083,0.6861614497528831,8.572625813244644,17.580542282459675,3.2775947281713345,455,2.201175152747546
regime_switching,1,catboost_barrier,0.0,4452,0.33782569631626236,1504,493.94846749959436,0.3284231831779218,0.6748670212765957,8.331472474698375,26.287738287003492,3.206117021276596,543,2.113015181795998
regime_switching,2,rolling_z,1.0006486255720197,4463,0.34237060273358727,1528,395.2819511550574,0.2586923764103779,0.662303664921466,6.613513071416991,35.29453650189095,3.1590314136125652,565,5.710649257679673
regime_switching,2,lightgbm_point,0.17727965196302659,4463,0.3405780864889088,1520,404.7578083084229,0.26628803178185717,0.6644736842105263,6.8125773634942535,32.21941385581937,3.1605263157894736,565,5.710649257679673
regime_switching,2,catboost_point,0.12339330865428993,4463,0.34214653820300245,1527,396.9629990193496,0.2599626712634902,0.6627373935821873,6.646618302255036,35.29453650189095,3.163064833005894,565,5.710649257679673
regime_switching,2,lightgbm_huber,0.0,4463,0.3378893121218911,1508,406.34753137020533,0.26946122769907516,0.666445623342175,6.850913048196479,34.56335359875135,3.116710875331565,559,5.772198481189156
regime_switching,2,catboost_huber,0.0,4463,0.3372171185301367,1505,412.5333703796222,0.2741085517472573,0.667109634551495,6.987650869460463,32.21941385581937,3.1222591362126244,556,5.609127511971854
regime_switching,2,lightgbm_quantile,0.0,4463,0.340354021958324,1519,408.4659439437794,0.2689045055587751,0.6649111257406188,6.8694502200866125,32.21941385581937,3.1586570111915733,562,5.893181522231761
regime_switching,2,catboost_quantile,0.0,4463,0.3412502800806632,1523,397.7948325041907,0.2611916168773412,0.6631648063033486,6.694563776310729,32.21941385581937,3.157583716349311,564,5.649511031299757
regime_switching,2,lightgbm_barrier,0.10020487545311232,4463,0.3428187317947569,1530,397.1318189752546,0.2595632803759834,0.6627450980392157,6.643365734922739,35.29453650189095,3.1562091503267973,565,5.710649257679673
